gpu,kind,policy,label,n,q_p50,q_p90,q_max,bsld_p50,fair_mean,lt50,p1,alloc_avg,makespan_min
256,single,fifo,FIFO (mostalloc),111586,4932803.0,10192198.0,10933734.5,3375.4843950406157,99.99979196803827,0.0,100.0,99.00969687167346,373148.5833333333
256,single,kai,KAI-only (FIFO+binpack),111586,4932803.0,10192198.0,10933734.5,3375.4843950406157,99.99979196803827,0.0,100.0,99.00969687167346,373148.5833333333
256,single,sfqa-auto,SAFA (mostalloc),111586,2379068.5,9374421.5,11007053.5,1597.8880138814736,96.9132483759106,0.29125517538042406,54.29451109459603,99.04849530071526,373104.63333333336
256,single,safa-kai,SAFA+KAI (SAFA+binpack),111586,2379068.5,9374421.5,11007053.5,1597.8880138814736,96.9132483759106,0.29125517538042406,54.29451109459603,99.04849530071526,373104.63333333336
256,hetero,fifo,FIFO (mostalloc),111586,9746216.999999993,20724578.499999993,22488847.999999993,6752.309523809524,99.99934636960981,0.0,99.99811178247734,99.02184768244433,569526.1666666665
256,hetero,kai,KAI-only (FIFO+binpack),111586,10243133.299999997,22091163.1,23983990.800000004,7144.669236311237,99.99874798455181,0.0008961697704013049,99.99813981174896,99.01083073428528,595410.4333333332
256,hetero,sfqa-auto,SAFA (mostalloc),111586,3773512.5,17669088.000000007,21514736.600000016,2830.970276497699,96.78103451847203,0.07886293979531482,54.405943380297536,99.06313081892665,551743.5166666665
256,hetero,safa-kai,SAFA+KAI (SAFA+binpack),111586,3462431.1999999993,20184006.499999996,23972689.29999999,2983.764166901606,96.81398060106314,0.22762712168193142,54.54205007489835,99.0016823313003,593013.8900000001
512,single,fifo,FIFO (mostalloc),111586,1216806.0,2057109.0,2179800.5,749.9077881619937,99.99991453233493,0.0,99.9989688914552,98.86347651956083,221872.93333333332
512,single,kai,KAI-only (FIFO+binpack),111586,1216806.0,2057109.0,2179800.5,749.9077881619937,99.99991453233493,0.0,99.9989688914552,98.86347651956083,221872.93333333332
512,single,sfqa-auto,SAFA (mostalloc),111586,607032.5,1430415.0,2520115.5,376.04000829187396,97.59594281620686,0.6246303299697095,53.068811167589715,98.8191967948192,221636.88333333333
512,single,safa-kai,SAFA+KAI (SAFA+binpack),111586,607032.5,1430415.0,2520115.5,376.04000829187396,97.59594281620686,0.6246303299697095,53.068811167589715,98.8191967948192,221636.88333333333
512,hetero,fifo,FIFO (mostalloc),111586,3550051.400000004,7307552.900000006,7806818.600000009,2303.7552083333335,99.99975710563797,0.0,99.99782880095532,99.0305855486357,319829.20666666667
512,hetero,kai,KAI-only (FIFO+binpack),111586,3775926.0,7799475.800000008,8347534.79999999,2478.392927170868,99.99977644177062,0.0,99.99786260847262,99.03765647529166,329267.9850000002
512,hetero,sfqa-auto,SAFA (mostalloc),111586,1759480.5,5844175.200000001,7258056.199999999,1031.0953010279006,96.83597975056001,0.7608481350707078,50.51588104390047,98.99854397928054,308830.9150000001
512,hetero,safa-kai,SAFA+KAI (SAFA+binpack),111586,1773330.5,6671693.8999999985,8318980.599999998,1100.0403458213257,96.77961457842753,0.6649579696377682,50.46731092055714,98.96124451312525,327208.01
