gpu,kind,policy,p1,lt50,fair,q_p50
512,hetero,age-sort,100.0,0.0,100.0,3550051
512,hetero,slurm-aging-0.25b,0.0,5.27,94.3,11180
512,hetero,slurm-aging-0.5b,0.0,7.09,92.8,390885
512,hetero,slurm-aging-0.75b,72.5,0.01,98.1,2755533
512,hetero,slurm-aging-0.5n,0.0,5.22,93.9,25545
512,single,age-sort,100.0,0.0,100.0,1216806
512,single,slurm-aging-0.25b,0.0,4.31,95.9,5786
512,single,slurm-aging-0.5b,3.6,4.09,95.1,174872
512,single,slurm-aging-0.75b,74.3,0.0,98.7,1048290
512,single,slurm-aging-0.5n,0.0,4.44,95.1,12798
256,hetero,age-sort,100.0,0.0,100.0,9746217
256,hetero,slurm-aging-0.25b,0.0,9.2,90.6,126936
256,hetero,slurm-aging-0.5b,0.0,8.64,91.8,1588224
256,hetero,slurm-aging-0.75b,72.2,0.0,97.8,6945026
256,hetero,slurm-aging-0.5n,0.0,9.65,90.6,336507
512,hetero,slurm-0.6,40.8,3.53,,1650942
512,hetero,slurm-0.65,54.3,0.08,,2010574
512,hetero,slurm-0.7,64.1,0.01,,2351666
512,hetero,slurm-0.85,85.8,0.0,,3319303
512,single,slurm-0.65,56.7,0.1,,731895
256,hetero,slurm-0.65,54.5,0.03,,4129107
