name,p1,lt50,fair,q_p50,n
ali_fifo,100.0,0.0,100.0,19177565,120079
ali_sfqa,73.8,0.0,98.4,18558384,120079
ali_sfqa-auto,98.4,0.0,99.9,18815828,120079
ali_auto-wall,97.7,0.0,99.9,18922989,120079
ali_alpha3e-4,62.5,0.0,97.9,9652703,120079
typed_fifo,100.0,0.0,100.0,5148062,111586
typed_sjf,0.0,3.12,96.2,1486,111586
typed_sfqa-auto,100.0,0.0,100.0,5147706,111586
fit-oldest,0.0,7.56,,445318
per_opp,fifo,99.9,0.02
per_opp,sjf,0.0,44.61
per_opp,easy,29.7,14.17
per_opp,sfqa,40.1,5.70
per_opp,sfqa-auto,50.2,0.96
auto-noRmin,75.2,0.01,,2305808
