gpu,kind,policy,q_p50,q_max,alloc_avg,fair_mean,fair_p1,lt50_pct,makespan_days
80,single,fifo,2999502,5007200,43.8,100.0,100.0,0.0,89.05
80,single,sjf,369,47123316,94.9,91.1,0.0,8.77,609.4
80,single,las,799943,48525192,96.0,79.9,0.0,17.53,615.4
80,single,kueue,799943,48525192,96.0,79.9,0.0,17.53,615.4
80,single,easy,1471361,45138932,96.2,80.2,0.0,17.27,587.53
80,single,themis,1256,49240200,95.1,90.9,0.0,8.48,622.7
80,single,fgd,799943,48525192,96.0,79.9,0.0,17.53,615.4
80,single,sfqa,2246873,5632982,46.8,85.6,0.0,11.04,95.52
80,single,sfqa-auto,2453705,5125091,43.0,85.2,0.0,14.11,89.33
80,hetero,fifo,5935391,9761903,64.2,100.0,100.0,0.0,144.51
80,hetero,sjf,530,79607899,95.0,89.2,0.0,10.41,974.58
80,hetero,las,596828,85215239,96.1,77.6,0.0,20.81,1073.96
80,hetero,kueue,596828,85215239,96.1,77.6,0.0,20.81,1073.96
80,hetero,easy,1094515,77887427,96.2,76.4,0.0,21.9,1005.39
80,hetero,themis,1948,80069918,95.4,88.3,0.0,11.0,986.91
80,hetero,fgd,596828,85215239,96.1,77.6,0.0,20.81,1073.96
80,hetero,sfqa,1782168,8862073,54.4,78.2,0.0,18.98,132.57
80,hetero,sfqa-auto,4691516,8792748,55.0,86.8,0.0,7.26,131.68
192,single,fifo,2404724,7308418,90.4,100.0,100.0,0.0,242.46
192,single,sjf,78,20191032,96.5,97.4,0.0,2.29,270.94
192,single,las,30867,18325946,97.7,93.0,0.0,5.65,268.07
192,single,kueue,30867,18325946,97.7,93.0,0.0,5.65,268.07
192,single,easy,503766,8664350,97.0,88.5,0.0,7.38,264.82
192,single,themis,173,18331090,96.8,97.3,0.0,2.19,271.46
192,single,fgd,30867,18325946,97.7,93.0,0.0,5.65,268.07
192,single,sfqa,1613336,7396434,91.6,91.7,0.0,7.06,243.49
192,single,sfqa-auto,2032412,7194495,91.7,93.7,0.0,4.16,241.15
192,hetero,fifo,8685099,21455434,92.1,100.0,100.0,0.0,406.2
192,hetero,sjf,226,32382374,97.2,94.3,0.0,5.31,444.03
192,hetero,las,105834,32275051,97.8,87.0,0.0,11.59,446.8
192,hetero,kueue,105834,32275051,97.8,87.0,0.0,11.59,446.8
192,hetero,easy,574989,21490709,97.6,84.5,0.0,12.29,419.72
192,hetero,themis,498,32416808,97.3,94.3,0.0,5.17,440.22
192,hetero,fgd,105834,32275051,97.8,87.0,0.0,11.59,446.8
192,hetero,sfqa,3404840,19479044,92.9,88.9,0.0,5.43,383.34
192,hetero,sfqa-auto,5272090,19907732,92.5,94.6,10.2,1.59,388.3
448,single,fifo,2,84266,65.6,100.0,100.0,0.0,188.26
448,single,sjf,2,311230,65.5,100.0,99.9,0.0,188.26
448,single,las,2,310986,65.3,100.0,99.9,0.0,188.26
448,single,kueue,2,310986,65.3,100.0,99.9,0.0,188.26
448,single,easy,2,81702,65.1,100.0,99.3,0.0,188.26
448,single,themis,2,310486,65.5,100.0,99.9,0.0,188.26
448,single,fgd,2,310986,65.3,100.0,99.9,0.0,188.26
448,single,sfqa,2,87371,65.5,100.0,99.9,0.0,188.26
448,single,sfqa-auto,2,84054,65.5,100.0,99.9,0.0,188.26
448,hetero,fifo,153319,1806913,89.7,100.0,100.0,0.0,208.59
448,hetero,sjf,2,7976983,89.9,99.0,82.5,0.89,204.34
448,hetero,las,500,7481172,89.4,97.3,0.0,2.11,205.38
448,hetero,kueue,500,7481172,89.4,97.3,0.0,2.11,205.38
448,hetero,easy,2308,1056162,88.8,97.1,28.1,1.42,199.91
448,hetero,themis,2,7883663,90.0,99.3,88.1,0.48,205.93
448,hetero,fgd,500,7481172,89.4,97.3,0.0,2.11,205.38
448,hetero,sfqa,106983,1556660,89.4,97.4,54.8,0.31,205.63
448,hetero,sfqa-auto,101100,1634302,89.1,98.4,70.4,0.01,206.56
