scenario,gpu,kind,policy,q_p50,fair_p1
baseline,512,hetero,easy,1631802,0.0
baseline,512,hetero,fgd,520982,0.0
baseline,512,hetero,fifo,3550051,100.0
baseline,512,hetero,kueue,520982,0.0
baseline,512,hetero,las,520982,0.0
baseline,512,hetero,lucid,155,0.73
baseline,512,hetero,sfqa,1484001,37.35
baseline,512,hetero,sfqa-auto,1759480,50.52
baseline,512,hetero,sjf,1110,0.0
baseline,512,hetero,themis,3652,0.0
baseline,512,single,easy,1003318,0.0
baseline,512,single,fgd,112894,30.85
baseline,512,single,fifo,1216806,100.0
baseline,512,single,kueue,112894,30.85
baseline,512,single,las,112894,30.85
baseline,512,single,lucid,94,71.96
baseline,512,single,sfqa,491798,41.36
baseline,512,single,sfqa-auto,607032,53.07
baseline,512,single,sjf,643,64.11
baseline,512,single,themis,1908,21.11
ovh+50,512,hetero,easy,1600126,0.0
ovh+50,512,hetero,fgd,313314,0.0
ovh+50,512,hetero,fifo,3582895,100.0
ovh+50,512,hetero,kueue,313314,0.0
ovh+50,512,hetero,las,313314,0.0
ovh+50,512,hetero,lucid,147,0.72
ovh+50,512,hetero,sfqa,1474771,37.25
ovh+50,512,hetero,sfqa-auto,1772865,50.9
ovh+50,512,hetero,sjf,1057,0.0
ovh+50,512,hetero,themis,3167,0.0
ovh+50,512,single,easy,984250,0.0
ovh+50,512,single,fgd,100164,40.46
ovh+50,512,single,fifo,1217150,100.0
ovh+50,512,single,kueue,100164,40.46
ovh+50,512,single,las,100164,40.46
ovh+50,512,single,lucid,65,70.77
ovh+50,512,single,sfqa,485108,39.03
ovh+50,512,single,sfqa-auto,604052,52.81
ovh+50,512,single,sjf,636,64.81
ovh+50,512,single,themis,1982,20.99
ovh-50,512,hetero,easy,1633085,0.0
ovh-50,512,hetero,fgd,408006,0.0
ovh-50,512,hetero,fifo,3595545,100.0
ovh-50,512,hetero,kueue,408006,0.0
ovh-50,512,hetero,las,408006,0.0
ovh-50,512,hetero,lucid,135,0.63
ovh-50,512,hetero,sfqa,1461563,36.91
ovh-50,512,hetero,sfqa-auto,1729123,50.8
ovh-50,512,hetero,sjf,1066,0.0
ovh-50,512,hetero,themis,3518,0.0
ovh-50,512,single,easy,1026126,0.0
ovh-50,512,single,fgd,108952,0.0
ovh-50,512,single,fifo,1216450,100.0
ovh-50,512,single,kueue,108952,0.0
ovh-50,512,single,las,108952,0.0
ovh-50,512,single,lucid,62,70.6
ovh-50,512,single,sfqa,500889,41.28
ovh-50,512,single,sfqa-auto,605482,52.73
ovh-50,512,single,sjf,640,64.25
ovh-50,512,single,themis,1890,21.28
speed+50,512,hetero,easy,1933193,0.0
speed+50,512,hetero,fgd,1099265,0.0
speed+50,512,hetero,fifo,4673490,100.0
speed+50,512,hetero,kueue,1099265,0.0
speed+50,512,hetero,las,1099265,0.0
speed+50,512,hetero,lucid,211,0.02
speed+50,512,hetero,sfqa,1710785,38.41
speed+50,512,hetero,sfqa-auto,1938106,50.2
speed+50,512,hetero,sjf,1394,0.0
speed+50,512,hetero,themis,3940,0.0
speed+50,512,single,easy,1003318,0.0
speed+50,512,single,fgd,112894,30.85
speed+50,512,single,fifo,1216806,100.0
speed+50,512,single,kueue,112894,30.85
speed+50,512,single,las,112894,30.85
speed+50,512,single,lucid,94,71.96
speed+50,512,single,sfqa,491798,41.36
speed+50,512,single,sfqa-auto,607032,53.07
speed+50,512,single,sjf,643,64.11
speed+50,512,single,themis,1908,21.11
speed-50,512,hetero,easy,1270233,0.0
speed-50,512,hetero,fgd,295092,0.0
speed-50,512,hetero,fifo,2432770,100.0
speed-50,512,hetero,kueue,295092,0.0
speed-50,512,hetero,las,295092,0.0
speed-50,512,hetero,lucid,108,13.78
speed-50,512,hetero,sfqa,1063557,37.75
speed-50,512,hetero,sfqa-auto,1365581,49.7
speed-50,512,hetero,sjf,810,1.72
speed-50,512,hetero,themis,2561,0.0
speed-50,512,single,easy,1003318,0.0
speed-50,512,single,fgd,112894,30.85
speed-50,512,single,fifo,1216806,100.0
speed-50,512,single,kueue,112894,30.85
speed-50,512,single,las,112894,30.85
speed-50,512,single,lucid,94,71.96
speed-50,512,single,sfqa,491798,41.36
speed-50,512,single,sfqa-auto,607032,53.07
speed-50,512,single,sjf,643,64.11
speed-50,512,single,themis,1908,21.11
